Code,USD,Economy,Ranking,lat,lon
LCA,1332,St. Lucia,172,13.8833,-61.1333
VCT,726,St. Vincent and the Grenadines,181,13.25,-61.2
VCT,726,St. Vincent and the Grenadines,181,13.25,-61.2
VCT,726,St. Vincent and the Grenadines,181,13.25,-61.2
WSM,694,Samoa,182,-13.5833,-172.3333
STP,311,São Tomé and Principe,187,1,7
SAU,745273,Saudi Arabia,19,25,45
SEN,15150,Senegal,118,14,-14
SRB,42521,Serbia,88,44,21
SYC,1268,Seychelles,173,-4.5833,55.6667
SLE,4929,Sierra Leone,151,8.5,-11.5
SGP,297941,Singapore,36,1.3667,103.8
SVK,91348,Slovak Republic,63,48.6667,19.5
SVN,45378,Slovenia,84,46,15
SLB,1096,Solomon Islands,175,-8,159
ZAF,350630,South Africa,33,-29,24
ESP,1358263,Spain,13,40,-4
LKA,67182,Sri Lanka,70,7,81
SDN,66548,Sudan,71,15,30
SUR,5231,Suriname,150,4,-56
SWZ,3791,Swaziland,157,-26.5,31.5
SWE,557938,Sweden,22,62,15
CHE,650782,Switzerland,20,47,8
TJK,8508,Tajikistan,138,39,71
TZA,33225,Tanzania,93,-6,35
THA,387252,Thailand,29,15,100
TGO,4339,Togo,153,8,1.1667
TON,466,Tonga,185,-20,-175
TTO,24641,Trinidad and Tobago,101,11,-61
TTO,24641,Trinidad and Tobago,101,11,-61
TUN,47129,Tunisia,82,34,9
TUR,820207,Turkey,17,39,35
TKM,41851,Turkmenistan,90,40,60
TUV,38,Tuvalu,191,-8,178
UGA,21483,Uganda,106,1,32
UKR,177431,Ukraine,56,49,32
ARE,383799,United Arab Emirates,30,24,54
GBR,2522261,United Kingdom,6,54,-2
USA,16800000,United States,1,38,-97
URY,55708,Uruguay,76,-33,-56
UZB,56796,Uzbekistan,75,41,64
VUT,835,Vanuatu,178,-16,167
VEN,438284,"Venezuela, RB",27,8,-66
VEN,438284,"Venezuela, RB",27,8,-66
VNM,171392,Vietnam,57,16,106
VNM,171392,Vietnam,57,16,106
YEM,35955,"Yemen, Rep.",91,15,48
ZMB,22384,Zambia,105,-15,30
ZWE,12802,Zimbabwe,126,-20,30
